Games_Updated_ID,Console,Game_Name,Review,Score
Games_Updated_ID_339,PC,Mage's Initiation: Reign Of The Elements  - VGA Heyday,Fair,6
Games_Updated_ID_340,PC,"Kingdom Hearts 3  - Clear Eyes, Full Hearts",Great,8
Games_Updated_ID_341,PC,Pikuniku  - Delicious Morsel,Great,8
Games_Updated_ID_342,PC,Genesis Alpha One  - Drifting Without Direction,Poor,4
Games_Updated_ID_343,PC,Resident Evil 2  - RE-vived Nightmares,Superb,9
Games_Updated_ID_344,PC,Life Is Strange 2: Episode 2  - With Great Power,Great,8
Games_Updated_ID_345,PC,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,Great,8
Games_Updated_ID_346,PC,The Walking Dead: The Final Season Episode 3,Great,8
Games_Updated_ID_347,PC,YIIK: A Postmodern RPG  - A Bit More Hipster,Mediocre,5
Games_Updated_ID_348,PC,Double Cross  - Combat Woes,Fair,6
Games_Updated_ID_349,PC,Vane  - In Vain,Mediocre,5
Games_Updated_ID_350,PC,The Eternal Castle Remastered  - Vivid Flashbacks,Great,8
