Console,Game_Name,Review,Score
PC,Sinner: Sacrifice for Redemption  - Trials and Tribulations,Fair,6
PC,The Quiet Man  - Silence Is Not Golden,Terrible,2
PC,Cities: Skylines - Industries  - The Up And Up,Good,7
PC,SNK 40th Anniversary Collection  - It Belongs In A Museum,Great,8
PC,Deracine  - Elementary,Mediocre,5
PC,Football Manager 2019  - A Winning Strategy,Great,8
PC,Call Of Cthulhu  - Squid Logic,Mediocre,5
PC,Diablo 3: Eternal Collection Switch  - Better With Age,Superb,9
PC,Gwent  - Heart Of The Cards,Great,8
PC,Black Bird  - Featherweight,Mediocre,5
PC,Transistor,Great,8
PC,My Hero One's Justice  - In Their Own Quirky Ways,Fair,6
PC,WWE 2K19 : A Step In The Right Direction,Good,7
PC,Return Of The Obra Dinn : The Good Ship,Superb,9
PC,NBA 2K Playgrounds 2  - Ball Another Day,Mediocre,5
PC,"Call Of Duty: Black Ops 4  - Zombies, Blackout, Multiplayer",Great,8
PC,Reigns: Game Of Thrones : A Westerosi Romp,Great,8
PC,SoulCalibur 6  - The New Legend,Great,8
PC,Lego DC Super-Villains : Mediocre Mischief-Makers,Mediocre,5
PC,Dark Souls Remastered Switch : A Very Special Revisit,Great,8
PC,Starlink: Battle for Atlas  - Endless Space,Good,7
PC,Armello  - Nintendo Switch Update,Great,8
PC,Luigi's Mansion  - Old Haunts,Good,7
PC,The Missing  - Lost And Found,Great,8
PC,Child of Light,Great,8
PC,Chasm : The Battle Below,Great,8
PC,Super Mario Party  - Test Those Friendships,Good,7
PC,"World of Warcraft: Battle For Azeroth - Come One, Come All",Good,7
PC,My Memory of Us  - War Has Changed,Mediocre,5
PC,FIFA 19 Nintendo Switch  - Offside,Mediocre,5
PC,Pathfinder: Kingmaker  - The Classics,Fair,6
PC,Assassin's Creed Odyssey  - Glory Of Sparta,Great,8
PC,FIFA 19  - Golazo,Good,7
PC,"Forza Horizon 4  - Shifting Gears, Shifting Seasons",Superb,9
PC,Destiny 2: Forsaken  - A Grindhouse,Great,8
PC,Cities: Skylines  - In The Zone,Great,8
PC,Mega Man 11  - An Uneven Retro Romp,Good,7
PC,Freedom Planet  -- Speedy Ambitions,Good,7
PC,Fist Of The North Star: Lost Paradise  - Be The Tough Boy,Great,8
PC,The Bard's Tale IV: Barrows Deep  - Lament,Poor,4
PC,Final Fantasy XV: Pocket Edition HD  - Nintendo Switch,Good,7
PC,Dragon Ball FighterZ : The Fast And The Furious,Superb,9
PC,PES 2019,Superb,9
PC,Telltale's The Walking Dead: The Final Season Episode 2,Great,8
PC,Life Is Strange 2: Episode 1  - What Doesn't Kill Us,Superb,9
PC,Transference  - In Another World,Good,7
PC,Star Control: Origins  - Space Oddity,Fair,6
PC,Broken Sword 5: The Serpent's Curse,Great,8
PC,The Gardens Between  - Dance Among The Stars,Great,8
PC,NHL 19  - A Barnburner,Great,8
PC,Wasteland 2: Director's Cut Nintendo Switch,Great,8
PC,Zone Of The Enders: The 2nd Runner - MARS,Mediocre,5
PC,Undertale  - Nintendo Switch Update,Superb,9
